extension,count
.MRG,145
.IMQ,143
.00C,143
.LFT,142
.SPA,141
.CIN,140
.CCF,139
.W52,137
.mrg,136
.SMO,136
.TTI,134
.ram,133
.demo,133
.WD,132
.HL_,130
.00D,129
.dbd,128
.X16,126
.00E,126
.paz,126
.PPT,124
.IFO,124
.mdb,124
.map,123
.TMP,123
.BUP,123
.00F,123
.AFT,123
.DSJ,122
.CTY,122
.DST,120
.NTX,120
.m,120
.SMG,119
.YMG,119
.CKB,118
.WP,117
.00G,116
.lv6,116
.MEN,114
.IN2,114
.DB2,114
.IN1,114
.DB1,114
.mno,113
.PV,113
.lnk,113
.dl_,113
.P13,113
.GX2,110
.CS,110
.tlb,109
.3,109
.TOC,109
.tv,108
.NFO,108
.DEF,108
.A,108
.00H,108
.AVL,107
.00I,107
.WFE,106
.MIM,106
.twc,106
.EQ_,105
.PFT,104
.XMP,104
.DRW,102
.GS,102
.00J,102
.SCR,101
.apl,100
.SCH,100
.mmm,100
.e00,100
.ISU,99
.DR_,99
.sgm,97
.TTF,97
.enc,97
.APL,96
.tfw,96
.BIT,95
.INP,95
.CPP,95
.FM_,95
.SPD,94
.sec,94
.swf,92
.4,92
.cfp,92
.F,92
.ASCII,92
.00K,91
.awe,90
.AV,89
.text,89
.hlp,87
.CHN,87
.x16,86
.ex_,86
.BAS,86
.RAT,85
.FC,85
.00L,85
.GUI,85
.00M,84
.mp,83
.SET,83
.MAN,83
.AP_,82
.BRO,82
.PTH,82
.CGM,82
.FRM,81
.R0A,80
.RE_,80
.PNT,80
.GF,80
.R0B,80
.ROM,79
.img,78
.INT,78
.R0C,78
.DKA,78
.wsi,77
.00N,76
.INC,76
.inv,76
.SBF,75
.SBD,75
.pdr,74
.UNV,74
.JAVA,73
.xd,72
.00P,72
.00O,72
.MSK,72
.c,72
.ANM,72
.TBK,71
.wmf,71
.ARC,71
.PIP,71
.BM_,71
.dxr,70
.FLT,70
.TFT,70
.ACK,69
.wrk,68
.REG,68
.00Q,67
.KEY,67
.PAR,67
.RES,66
.veg,66
.DIC,66
.EXP,65
.tex,65
.PGM,64
.ABR,62
.EQV,62
.IVD,62
.dtd,62
.CF,61
.PLY,61
.CHR,61
.LOC,61
.CON,60
.AWE,60
.OV,59
.00R,59
.XPT,59
.00S,59
.FED,58
.CUR,58
.pth,58
.sgy,57
.FDC,57
.TOP,57
.DTA,57
.sas,56
.C0A,56
.C0B,56
.P0A,56
.P0B,56
.fmt,56
.rev,56
.WZP,56
.QTC,55
.SQT,54
.R4,54
.R2,54
.PLA,54
.CNF,54
.SQP,54
.00T,54
.IDR,54
.MST,54
.C0C,54
.R3,53
.VMP,53
.EMP,53
.IDF,53
.38_,52
.P0C,52
.APR,52
.QRT,52
.ttf,52
.ASX,52
.TQP,51
.CAA,51
.M24,51
.CMC,51
.TQT,51
.ALF,51
.GRD,50
.H0A,50
.H0B,50
.H0C,50
.mac,50
.R5,50
.R6,50
.aicon6,49
.PAD,49
.SND,49
.VAL,49
.rmf,49
.iso,49
.tag,49
.dsj,49
.fon,49
.AVE,49
.FOT,49
.NTI,48
.SY_,48
.XYC,48
.DVC,48
.SVG,48
.SEA,48
.EDH,48
.RMS,47
.TEX,47
.DOS,47
.DOD,47
.PFX,47
.B0B,47
.B0A,47
.31,47
.SPN,46
.VPT,46
.MDL,46
.CMN,46
.B0C,46
.lv5,46
.HKB,45
.0,45
.RSC,45
.R7,45
.WHI,45
.FON,45
.nib,44
.00U,44
.CPM,43
.RSR,43
.AFX,42
.D0B,42
.D0A,42
.FRR,42
.COV,42
.lex,42
.VBX,42
.D0C,42
.avx,42
.ND_,41
.TCD,41
.TCI,41
.NLS,41
.cdy,41
.html~,41
.apr,41
.dfx,41
.cty,41
.DCB,41
.BX,41
.dst,41
.aep,40
.acf,40
.KB,40
.wri,40
.SHR,40
.SPS,40
.PUB,39
.BPR,39
.EPT,39
.nfo,39
.pkg,39
.S0A,39
.S0B,39
.S0C,39
.NBA,38
.00V,38
.nl_,38
.R8,38
.lic,38
.PAT,38
.IMD,37
.FTH,37
.dcr,37
.ST_,37
.N0A,37
.dfont,37
.STF,37
.OLD,37
.GML,37
.N0B,36
.WP4,36
.BRF,36
.DVR,36
.pro,36
.cmp,36
.aih,36
.R9,36
.PLS,36
.VMG,36
.BAZ,36
.IMI,36
.jpe,36
.SAV,36
.WHL,36
.afm,35
.OC_,35
.ain,35
.TXX,35
.OVL,35
.htmx,35
.N0C,35
.DD,35
.EDX,35
.GBG,35
.erv,35
.mpp,35
.EDT,35
.EDS,35
.otf,35
.rst,35
.EDI,35
.EDC,35
.00W,35
.lng,35
.FXT,34
.LV1,34
.IFL,34
.EDP,34
.LV3,34
.ENC,34
.LV2,34
.WPT,34
.GSF,34
.pal,34
.01,33
.05 Installer,33
.HTD,33
.LV4,33
.REC,33
.L0B,33
.PTR,33
.L0A,33
