extension,File Format,count,NARA Format ID
ty,WordPerfect for MS-DOS Document (5.0),3,
_~$nf,Unidentified,3,
12_cq_,Unidentified,3,
16_cyb,Unidentified,3,
womens,Unidentified,3,
0%26id,Unidentified,3,
prmdc2,Unidentified,3,
doc;%2,Unidentified,3,
17_wp_,Unidentified,3,
m6,EBCDIC-US,3,
mukag,EBCDIC-US,3,
com%26,Unidentified,3,
txt-{6,Unidentified,3,
_hsc%2,Unidentified,3,
mpk,Unidentified,3,
_helve,Unidentified,3,
12_spa,Unidentified,3,
17_coa,Unidentified,3,
rfc286,Unidentified,3,
txt-{6,Unidentified,3,
%20pho,Unidentified,3,
-{89dd,Unidentified,3,
fry,Unidentified,3,
_irs,Unidentified,3,
x25,Unidentified,3,
w4tm,8-bit ASCII Text,3,
%20pau,Unidentified,3,
gif-{6,Unidentified,3,
17_ars,Unidentified,3,
sensib,Unidentified,3,
f05,WordPerfect for MS-DOS/Windows Document (6.0),3,
201610,Unidentified,3,
g2,WordPerfect for MS-DOS Document (5.0),3,
e9,WordPerfect for MS-DOS/Windows Document (6.0),3,
proper,Unidentified,3,
"3322,",Unidentified,3,
wtlst,Unidentified,3,
_move%,Unidentified,3,
fabric,Unidentified,3,
myi-{6,Unidentified,3,
49,WordPerfect for MS-DOS Document (5.0),3,
css-{6,Unidentified,3,
3088,Unidentified,3,
dbb,Skype User Data,3,
jpg-{8,Unidentified,3,
ell,Unidentified,3,
2952,Unidentified,3,
18_fif,Unidentified,3,
-{89dd,Unidentified,3,
main,EBCDIC-US,3,
0%26id,Unidentified,3,
com_pe,Unidentified,3,
,Microsoft Powerpoint Presentation (97-2002),3,
prd,8-bit ASCII Text,3,
rc~,Unidentified,3,
com%26,Unidentified,3,
13_wp_,Unidentified,3,
16_dod,Unidentified,3,
_snell,Unidentified,3,
lnk-{6,Unidentified,3,
ctbs2r,EBCDIC-US,3,
_landm,Unidentified,3,
gif-{6,Unidentified,3,
spdc,Unidentified,3,
htm-{6,Unidentified,3,
"2139,",Unidentified,3,
04%20p,Unidentified,3,
7007,8-bit ASCII Text,3,
at4,Unidentified,3,
htm-{6,Unidentified,3,
politi,Unidentified,3,
dir,WordPerfect for MS-DOS Document (5.0),3,
frm-{6,Unidentified,3,
g-{69d,Unidentified,3,
rm,WordPerfect for MS-DOS/Windows Document (5.1),3,
stuede,Unidentified,3,
0507,Unidentified,3,
jpg-{6,Unidentified,3,
txt-{8,Unidentified,3,
adga-{,Unidentified,3,
sug,WordPerfect for MS-DOS/Windows Document (6.0),3,
su,EBCDIC-US,3,
cu,Unidentified,3,
stmnt,Unidentified,3,
jpg-{6,Unidentified,3,
4a&b,Unidentified,3,
5_4,Unidentified,3,
adviso,Unidentified,3,
y90040,8-bit ASCII Text,3,
ijs,Unidentified,3,
doc-{e,Unidentified,3,
pusb20,EBCDIC-US,3,
com%26,Unidentified,3,
o30,Unidentified,3,
adg-{6,Unidentified,3,
pip-{6,Unidentified,3,
snr,Unidentified,3,
%20de',Unidentified,3,
postur,Unidentified,3,
fm%252,Unidentified,3,
_west_,Unidentified,3,
_ann,Unidentified,3,
fb8,Unidentified,3,
q821,8-bit ASCII Text,3,
_bag%2,Unidentified,3,
com_pe,Unidentified,3,
17_gaz,Unidentified,3,
specre,Unidentified,3,
w1cd,8-bit ASCII Text,3,
_2nd,Unidentified,3,
18_nbc,Unidentified,3,
sar,Comptessed SAP file archive,3,
com%26,Unidentified,3,
gif-{6,Unidentified,3,
-{89dd,Unidentified,3,
wei,Unidentified,3,
17_ap_,Unidentified,3,
tl~,Unidentified,3,
com-op,Unidentified,3,
16_jsm,Unidentified,3,
layout,8-bit ASCII Text,3,
17_abc,Unidentified,3,
200506,8-bit ASCII Text,3,
17_omb,Unidentified,3,
16_reu,Unidentified,3,
ick,Unidentified,3,
yieldm,Unidentified,3,
txt-{6,Unidentified,3,
z22,Unidentified,3,
lnk-{6,Unidentified,3,
18_for,Unidentified,3,
dog,Laughing Dog Screen Saver,3,
oj,Unidentified,3,
submis,Unidentified,3,
wpdpre,Unidentified,3,
17_yne,Unidentified,3,
png-{6,Unidentified,3,
doc-{7,Unidentified,3,
gif-{6,Unidentified,3,
e96,Unidentified,3,
confid,Unidentified,3,
bms,Unidentified,3,
frm-{6,Unidentified,3,
15_cbs,Unidentified,3,
06pnnl,Unidentified,3,
arr,8-bit ASCII Text,3,
x1e,Unidentified,3,
var,Unidentified,3,
myi-{6,Unidentified,3,
_urbie,Unidentified,3,
ptt,Unidentified,3,
xls%20,Unidentified,3,
facebo,Unidentified,3,
gif-{6,Unidentified,3,
com%26,Unidentified,3,
lts,WordPerfect for MS-DOS Document (5.0),3,
16_wsj,Unidentified,3,
pelosi,Unidentified,3,
_tenne,Unidentified,3,
_irela,Unidentified,3,
lnk-{6,Unidentified,3,
j22,WordPerfect for MS-DOS Document (5.0),3,
14_s,Unidentified,3,
24_dnd,Unidentified,3,
aey,Unidentified,3,
lnk-{c,Unidentified,3,
lfd,Unidentified,3,
ghb,8-bit ASCII Text,3,
16_pol,Unidentified,3,
area_t,Unidentified,3,
bmp-{c,Unidentified,3,
url-{6,Unidentified,3,
17_nyt,Unidentified,3,
frm-{6,Unidentified,3,
2020_f,Unidentified,3,
_pages,Unidentified,3,
_marku,Unidentified,3,
eefff6,Unidentified,3,
spcolo,Unidentified,3,
_ustrb,Unidentified,3,
14_com,Unidentified,3,
txt-{6,Unidentified,3,
_keyst,Unidentified,3,
nts,WordPerfect for MS-DOS Document (5.0),3,
12_kyl,Unidentified,3,
affirm,Unidentified,3,
gif-{6,Unidentified,3,
16_jic,Unidentified,3,
t-{69d,Unidentified,3,
%20of%,Unidentified,3,
44,8-bit ASCII Text,3,
8a7eab,Unidentified,3,
doc-{8,Unidentified,3,
proxy,Unidentified,3,
e23,WordPerfect for MS-DOS/Windows Document (6.0),3,
txt-{6,Unidentified,3,
08%20a,Unidentified,3,
2779,Unidentified,3,
16_wp_,Unidentified,3,
17_blo,Unidentified,3,
_rotis,Unidentified,3,
txt-{8,Unidentified,3,
0%26id,Unidentified,3,
23,8-bit ASCII Text,3,
h3c,Unidentified,3,
n178w,EBCDIC-US,3,
_katie,Unidentified,3,
br,WordPerfect for MS-DOS Document (5.0),3,
html%2,Unidentified,3,
17_def,Unidentified,3,
gif-{6,Unidentified,3,
tar[1],Unidentified,3,
17_ado,Unidentified,3,
0%26id,Unidentified,3,
adg-{6,Unidentified,3,
myi-{6,Unidentified,3,
adv,WordPerfect for MS-DOS/Windows Document (6.0),3,
vnt,vNote file,3,
jpg-{6,Unidentified,3,
printi,8-bit ASCII Text,3,
"2232,",Unidentified,3,
dxdm,Unidentified,3,
doc-{e,Unidentified,3,
16_reu,Unidentified,3,
rfc286,Unidentified,3,
frm-{6,Unidentified,3,
16%20g,Unidentified,3,
nun,Unidentified,3,
partic,Unidentified,3,
_new%2,Unidentified,3,
htm-{6,Unidentified,3,
css-{6,Unidentified,3,
gif-{6,Unidentified,3,
dva,WordPerfect for MS-DOS/Windows Document (6.0),3,
18_pol,Unidentified,3,
r,EBCDIC-US,3,
hog,Unidentified,3,
tppf,8-bit ASCII Text,3,
mac-{8,Unidentified,3,
ee7,Unidentified,3,
xls-{c,Unidentified,3,
vic,EBCDIC-US,3,
html%2,Unidentified,3,
14_asp,Unidentified,3,
css-{6,Unidentified,3,
wto,Unidentified,3,
notes_,Unidentified,3,
action,Unidentified,3,
18_sen,Unidentified,3,
12_avi,Unidentified,3,
sol-{6,Unidentified,3,
_carav,Unidentified,3,
ntua,Unidentified,3,
17_fox,Unidentified,3,
tif%20,Unidentified,3,
rweb_p,Unidentified,3,
028099,Unidentified,3,
1501,Unidentified,3,
republ,Unidentified,3,
11_gsn,Unidentified,3,
cbk,EBCDIC-US,3,
doc-{7,Unidentified,3,
18_hil,Unidentified,3,
17_acc,Unidentified,3,
pricin,Unidentified,3,
com_pe,Unidentified,3,
gen013,Unidentified,3,
08-dhs,Unidentified,3,
bas,8-bit ASCII Text,3,
xls-{e,Unidentified,3,
senate,Unidentified,3,
16_twi,Unidentified,3,
28-,Unidentified,3,
com%26,Unidentified,3,
04-Feb,Unidentified,3,
_olc,Unidentified,3,
#NAME?,Unidentified,3,
_gover,Unidentified,3,
patent,Unidentified,3,
0%26id,Unidentified,3,
danica,Unidentified,3,
wainne,Unidentified,3,
rsk,Unidentified,3,
sjson,Unidentified,3,
_state,Unidentified,3,
sol-{6,Unidentified,3,
18_wsj,Unidentified,3,
txt-{6,Unidentified,3,
memcar,Unidentified,3,
nigeri,Unidentified,3,
%26sst,Unidentified,3,
_elect,Unidentified,3,
htm-{6,Unidentified,3,
16_afp,Unidentified,3,
_eisen,Unidentified,3,
l9,WordPerfect for MS-DOS/Windows Document (6.0),3,
cm7522,Unidentified,3,
tx-{69,Unidentified,3,
_03031,Unidentified,3,
txt-{6,Unidentified,3,
_court,Unidentified,3,
6pm,Unidentified,3,
electi,Unidentified,3,
907,WordPerfect for MS-DOS/Windows Document (6.0),3,
il07,EBCDIC-US,3,
go%26s,Unidentified,3,
18_ng_,Unidentified,3,
18_dep,Unidentified,3,
16_wsj,Unidentified,3,
php%2c,Unidentified,3,
jscsrc,Unidentified,3,
foster,Unidentified,3,
com%26,Unidentified,3,
sng,MIDI Song Format,3,
13a,Unidentified,3,
00_goi,Unidentified,3,
2018_b,Unidentified,3,
com%26,Unidentified,3,
{p},Unidentified,3,
02_dnd,Unidentified,3,
sol-{6,Unidentified,3,
17_reu,Unidentified,3,
31_pnn,Unidentified,3,
txt-{8,Unidentified,3,
com;ad,Unidentified,3,
1656,Unidentified,3,
lbl,WordPerfect for MS-DOS Document (5.0),3,
hst,WordPerfect for MS-DOS Document (5.0),3,
com%26,Unidentified,3,
aga,Unidentified,3,
csv%23,Unidentified,3,
l01,Unidentified,3,
pa08,EBCDIC-US,3,
_spark,Unidentified,3,
t-{89d,Unidentified,3,
ini-{6,Unidentified,3,
1099),Unidentified,3,
120,8-bit ASCII Text,3,
_sonat,Unidentified,3,
17_spa,Unidentified,3,
ark,PowerDesk Pro Archive,3,
_repor,Unidentified,3,
_usa%2,Unidentified,3,
09slid,Unidentified,3,
32601,Unidentified,3,
intern,Unidentified,3,
gif-{6,Unidentified,3,
htm-{6,Unidentified,3,
22-wom,Unidentified,3,
eas,WordPerfect for MS-DOS/Windows Document (6.0),3,
_cover,Unidentified,3,
gif-{6,Unidentified,3,
11-opc,Unidentified,3,
gen011,Unidentified,3,
com;ad,Unidentified,3,
sql,8-bit ASCII Text,3,
gif-{6,Unidentified,3,
-{69d4,Unidentified,3,
-{69d4,Unidentified,3,
cwk,Claris Works data,3,
ou1,Unidentified,3,
rs4in5,EBCDIC-US,3,
com%26,Unidentified,3,
200503,8-bit ASCII Text,3,
d97,Unidentified,3,
16_tre,Unidentified,3,
a-{69d,Unidentified,3,
js-{69,Unidentified,3,
y82q1,Unidentified,3,
txt-{6,Unidentified,3,
14_rt_,Unidentified,3,
tic,WordPerfect for MS-DOS Document (5.0),3,
sc30,Unidentified,3,
lnk-{c,Unidentified,3,
17_cyb,Unidentified,3,
doc-{6,Unidentified,3,
lnk-{8,Unidentified,3,
17_del,Unidentified,3,
amend,Unidentified,3,
_prese,Unidentified,3,
mku,Unidentified,3,
issann,Unidentified,3,
18_pol,Unidentified,3,
sxi,Unidentified,3,
17_wir,Unidentified,3,
_emerg,Unidentified,3,
sol-{6,Unidentified,3,
ent_l;,Unidentified,3,
11_blo,Unidentified,3,
gif-{6,Unidentified,3,
1613,Unidentified,3,
18_reu,Unidentified,3,
nuc,Unidentified,3,
lb2,WordPerfect for MS-DOS/Windows Document (5.1),3,
14_hil,Unidentified,3,
ajg,Unidentified,3,
720,WordPerfect for MS-DOS/Windows Document (6.0),3,
12data,Unidentified,3,
txt-{6,Unidentified,3,
com%26,Unidentified,3,
pusb08,EBCDIC-US,3,
18-eve,Unidentified,3,
18_pcm,Unidentified,3,
_presi,Unidentified,3,
ad-{69,Unidentified,3,
16_cnn,Unidentified,3,
0712,Unidentified,3,
mgi,Modular Gateway Interface,3,
17_nsc,Unidentified,3,
18_reu,Unidentified,3,
ba4,Unidentified,3,
ad-{69,Unidentified,3,
vjs,Unidentified,3,
%20ree,Unidentified,3,
-{89dd,Unidentified,3,
u04,Unidentified,3,
curren,Unidentified,3,
curren,Unidentified,3,
18_fcw,Unidentified,3,
adg-{6,Unidentified,3,
xml%26,Unidentified,3,
0418,Unidentified,3,
what's,Unidentified,3,
tpsapr,Unidentified,3,
idi,Unidentified,3,
possib,Unidentified,3,
%20i%2,Unidentified,3,
htm-{6,Unidentified,3,
17_reu,Unidentified,3,
18_que,Unidentified,3,
com%26,Unidentified,3,
15_atr,Unidentified,3,
spr,WordPerfect for MS-DOS Document (5.0),3,
js-{69,Unidentified,3,
mstive,Unidentified,3,
3rd,WordPerfect for MS-DOS Document (5.0),3,
15_que,Unidentified,3,
1832,Unidentified,3,
0%26u_,Unidentified,3,
17_bbc,Unidentified,3,
y1e,Unidentified,3,
lnk-{c,Unidentified,3,
12_blo,Unidentified,3,
txt-{c,Unidentified,3,
922,WordPerfect for MS-DOS/Windows Document (6.0),3,
ad-{69,Unidentified,3,
brief,Unidentified,3,
statem,Unidentified,3,
gif-{6,Unidentified,3,
lgt,Unidentified,3,
53,8-bit ASCII Text,3,
ead,Unidentified,3,
%20mar,Unidentified,3,
ts2,WordPerfect for MS-DOS Document (5.0),3,
sol-{6,Unidentified,3,
jp0,Unidentified,3,
rmfr25,Unidentified,3,
udallq,Unidentified,3,
pip-{6,Unidentified,3,
html%2,Unidentified,3,
com%26,Unidentified,3,
com-ex,Unidentified,3,
iss,WordPerfect for MS-DOS/Windows Document (6.0),3,
e18,WordPerfect for MS-DOS/Windows Document (6.0),3,
htm-{6,Unidentified,3,
frb,Unidentified,3,
y9004x,8-bit ASCII Text,3,
b13,Unidentified,3,
b29,WordPerfect for MS-DOS/Windows Document (6.0),3,
fb1,Unidentified,3,
rate,8-bit ASCII Text,3,
16_blo,Unidentified,3,
17_bre,Unidentified,3,
16_nex,Unidentified,3,
n81w12,EBCDIC-US,3,
08inte,Unidentified,3,
zix,WinZix Compressed file,3,
e09,8-bit ASCII Text,3,
rb_,Unidentified,3,
18_not,Unidentified,3,
sol-{6,Unidentified,3,
p4,EBCDIC-US,3,
19_cha,Unidentified,3,
nypop,8-bit ASCII Text,3,
css-{6,Unidentified,3,
xylan,Unidentified,3,
gif-{6,Unidentified,3,
5s,Unidentified,3,
con,Unidentified,3,
_2in_s,Unidentified,3,
com%26,Unidentified,3,
static,Unidentified,3,
85,8-bit ASCII Text,3,
prl,8-bit ASCII Text,3,
fb2,Unidentified,3,
g-{69d,Unidentified,3,
xls%20,Unidentified,3,
avaya,Unidentified,3,
adg-{6,Unidentified,3,
17_def,Unidentified,3,
11_she,Unidentified,3,
baroc,Unidentified,3,
,Internet Message Format,3,
virgin,Unidentified,3,
b10,Unidentified,3,
721,8-bit ASCII Text,3,
low,Unidentified,3,
20%20a,Unidentified,3,
18_nex,Unidentified,3,
17_ins,Unidentified,3,
wdb,Microsoft Works  Database for Windows (3.0a),3,
_dot,Unidentified,3,
kn,Unidentified,3,
tx06,EBCDIC-US,3,
third,Unidentified,3,
cyc,Unidentified,3,
n7009,Unidentified,3,
ny09,EBCDIC-US,3,
js-{69,Unidentified,3,
750522,EBCDIC-US,3,
gif-{6,Unidentified,3,
oh05,EBCDIC-US,3,
9pm,Unidentified,3,
tx-{c9,Unidentified,3,
_paper,Unidentified,3,
-{69d4,Unidentified,3,
t-{69d,Unidentified,3,
com;ad,Unidentified,3,
26ipet,Unidentified,3,
gs7,Unidentified,3,
gif-{6,Unidentified,3,
nei,WordPerfect for MS-DOS Document (5.0),3,
png-{6,Unidentified,3,
proc%2,Unidentified,3,
d26,WordPerfect for MS-DOS/Windows Document (6.0),3,
10_nyt,Unidentified,3,
12_cq_,Unidentified,3,
17_pol,Unidentified,3,
224,WordPerfect for MS-DOS/Windows Document (6.0),3,
_congr,Unidentified,3,
10_ap_,Unidentified,3,
pzp,MGI PhotoSuite II/III/4 Project,3,
jpg-{e,Unidentified,3,
css-{6,Unidentified,3,
pip-{6,Unidentified,3,
_matla,Unidentified,3,
17_nyt,Unidentified,3,
htm-{6,Unidentified,3,
fy93,8-bit ASCII Text,3,
txt-{6,Unidentified,3,
swf-{6,Unidentified,3,
%20joh,Unidentified,3,
xml-te,Unidentified,3,
t-{69d,Unidentified,3,
gif-{6,Unidentified,3,
47%20p,Unidentified,3,
06nist,Unidentified,3,
sol-{6,Unidentified,3,
mn04,EBCDIC-US,3,
eric's,Unidentified,3,
gif-{6,Unidentified,3,
z21,Unidentified,3,
a4p,A4Desk Pro/Adobe Authorware Package,3,
sidb,Unidentified,3,
ini-{6,Unidentified,3,
rubber,8-bit ASCII Text,3,
com;ad,Unidentified,3,
gif-{6,Unidentified,3,
txt-{6,Unidentified,3,
17_ent,Unidentified,3,
w%26hl,Unidentified,3,
27),Unidentified,3,
_dinin,Unidentified,3,
pdf%20,Unidentified,3,
ad-{69,Unidentified,3,
0331,Unidentified,3,
-{8c0f,Unidentified,3,
-{89dd,Unidentified,3,
10_hs,Unidentified,3,
17_ope,Unidentified,3,
frm-{6,Unidentified,3,
adga-{,Unidentified,3,
com%26,Unidentified,3,
a-{69d,Unidentified,3,
15_reu,Unidentified,3,
doc-{8,Unidentified,3,
featur,Unidentified,3,
gen022,Unidentified,3,
com%26,Unidentified,3,
29%20a,Unidentified,3,
gif-{6,Unidentified,3,
doc-{8,Unidentified,3,
_label,Unidentified,3,
090647,Unidentified,3,
16_wp_,Unidentified,3,
adg-{6,Unidentified,3,
discov,Unidentified,3,
2382,Unidentified,3,
tk,WordPerfect for MS-DOS Document (5.0),3,
61,8-bit ASCII Text,3,
nsrreq,Unidentified,3,
gif-{6,Unidentified,3,
17_ray,Unidentified,3,
mac-{8,Unidentified,3,
myi-{6,Unidentified,3,
_jdg_7,Unidentified,3,
bush_a,Unidentified,3,
gif-{6,Unidentified,3,
themes,Unidentified,3,
_growl,Unidentified,3,
17_spa,Unidentified,3,
htmwit,Unidentified,3,
gif-{6,Unidentified,3,
17_blo,Unidentified,3,
torren,Unidentified,3,
gif-{6,Unidentified,3,
_unive,Unidentified,3,
0%26id,Unidentified,3,
com;ad,Unidentified,3,
_medic,Unidentified,3,
-{89dd,Unidentified,3,
18_ap_,Unidentified,3,
js-{69,Unidentified,3,
mor,WordPerfect for MS-DOS Document (5.0),3,
tx2,8-bit ASCII Text,3,
txt-{c,Unidentified,3,
jpg-{e,Unidentified,3,
18_wp_,Unidentified,3,
17_fy1,Unidentified,3,
orpop,8-bit ASCII Text,3,
08conf,Unidentified,3,
_vcb%2,Unidentified,3,
52801,Unidentified,3,
yr70,EBCDIC-US,3,
htm-{6,Unidentified,3,
com;ad,Unidentified,3,
18_dsd,Unidentified,3,
15_ope,Unidentified,3,
frm-{6,Unidentified,3,
t-{89d,Unidentified,3,
0111,Unidentified,3,
hawkin,Unidentified,3,
swf-{6,Unidentified,3,
growlt,Unidentified,3,
-{69d4,Unidentified,3,
ini-{6,Unidentified,3,
18_wp_,Unidentified,3,
monday,Unidentified,3,
ard,Unidentified,3,
y20,Unidentified,3,
asia,Unidentified,3,
0%26id,Unidentified,3,
n142w,EBCDIC-US,3,
da2,EBCDIC-US,3,
aipac,Unidentified,3,
death,Unidentified,3,
y82q2,Unidentified,3,
_minio,Unidentified,3,
11_hil,Unidentified,3,
pip-{8,Unidentified,3,
gif-{6,Unidentified,3,
fy85,8-bit ASCII Text,3,
17_cso,Unidentified,3,
com;ad,Unidentified,3,
suppor,Unidentified,3,
rsas35,EBCDIC-US,3,
%26sst,Unidentified,3,
12nist,Unidentified,3,
gif-{6,Unidentified,3,
adg-{6,Unidentified,3,
16_sta,Unidentified,3,
0527,Unidentified,3,
17_ind,Unidentified,3,
pdf-{c,Unidentified,3,
0%26id,Unidentified,3,
ini-{8,Unidentified,3,
tui,Unidentified,3,
18_abc,Unidentified,3,
gif-{6,Unidentified,3,
_caslo,Unidentified,3,
qtif,Unidentified,3,
crop,Unidentified,3,
lnk-{6,Unidentified,3,
811,8-bit ASCII Text,3,
17_wsj,Unidentified,3,
ini-{6,Unidentified,3,
b52,Unidentified,3,
gif-{6,Unidentified,3,
ini-{6,Unidentified,3,
15_s1,Unidentified,3,
o12,Unidentified,3,
ppt-{e,Unidentified,3,
htm-{6,Unidentified,3,
tx-{69,Unidentified,3,
ddt,Unidentified,3,
roarin,Unidentified,3,
_chain,Unidentified,3,
nga,Unidentified,3,
"27,",Unidentified,3,
da1,EBCDIC-US,3,
%20gin,Unidentified,3,
8.239,Unidentified,3,
lst-{6,Unidentified,3,
ss,WordPerfect for MS-DOS Document (5.0),3,
17_nyt,Unidentified,3,
nomina,Unidentified,3,
kat,Unidentified,3,
l8,WordPerfect for MS-DOS/Windows Document (6.0),3,
psd,Tagged Image File Format (4),3,
2018_a,Unidentified,3,
codel,Unidentified,3,
raw%23,Unidentified,3,
_erpco,Unidentified,3,
17_wsj,Unidentified,3,
story;,Unidentified,3,
sbmx,Unidentified,3,
_hud,Unidentified,3,
77;abr,Unidentified,3,
17_def,Unidentified,3,
swf-{6,Unidentified,3,
a09,Unidentified,3,
22,WordPerfect for MS-DOS/Windows Document (6.0),3,
_title,Unidentified,3,
_will,Unidentified,3,
17_wir,Unidentified,3,
css-{6,Unidentified,3,
l49,Unidentified,3,
2020_a,Unidentified,3,
adg-{6,Unidentified,3,
vbm,Unidentified,3,
,JPEG File Interchange Format (1.00),3,
f06,8-bit ASCII Text,3,
z20,Unidentified,3,
loaded,Unidentified,3,
wmk,Unidentified,3,
myd-{6,Unidentified,3,
qms,Unidentified,3,
l20,WordPerfect for MS-DOS/Windows Document (6.0),3,
h1d,Unidentified,3,
tempor,Unidentified,3,
txt-{6,Unidentified,3,
skzag,8-bit ASCII Text,3,
z18,Unidentified,3,
d02,WordPerfect for MS-DOS/Windows Document (6.0),3,
sp6,WordPerfect for MS-DOS Document (5.0),3,
5f,Unidentified,3,
df5,Unidentified,3,
bs3,Unidentified,3,
c75,EBCDIC-US,3,
14_wp_,Unidentified,3,
riv,8-bit ASCII Text,3,
att,Unidentified,3,
2,Graphics Interchange Format (1989a),3,
news;a,Unidentified,3,
2418,Unidentified,3,
11_ap_,Unidentified,3,
htm-{6,Unidentified,3,
ctbs1r,EBCDIC-US,3,
-{69d4,Unidentified,3,
pdf-{c,Unidentified,3,
_erppo,Unidentified,3,
k04,WordPerfect for MS-DOS/Windows Document (6.0),3,
politi,Unidentified,3,
18_rea,Unidentified,3,
awb,Adaptive Multi-rate Wide Band (AMR-WB),3,
sol-{6,Unidentified,3,
spdf,Unidentified,3,
_flexp,Unidentified,3,
18_nyt,Unidentified,3,
a10,WordPerfect for MS-DOS/Windows Document (6.0),3,
6/21/2001,Unidentified,3,
jb2,Unidentified,3,
_bin,Unidentified,3,
ph,WordPerfect for MS-DOS Document (5.0),3,
dxl,Unidentified,3,
y7689,8-bit ASCII Text,3,
_trade,Unidentified,3,
1656ta,Unidentified,3,
y74q3,Unidentified,3,
prdic,EBCDIC-US,3,
31asp,Unidentified,3,
4;abr=,Unidentified,3,
divisi,Unidentified,3,
fei,Unidentified,3,
dmc,WordPerfect for MS-DOS Document (5.0),3,
16_con,Unidentified,3,
britsc,Unidentified,3,
com_pe,Unidentified,3,
%20act,Unidentified,3,
com;ad,Unidentified,3,
com;ad,Unidentified,3,
nafta,Unidentified,3,
16_fid,Unidentified,3,
speci-,Unidentified,3,
ad-{69,Unidentified,3,
16_eco,Unidentified,3,
tfl,Unidentified,3,
hpmgun,Unidentified,3,
t,8-bit ASCII Text,3,
-{89dd,Unidentified,3,
200,WordPerfect for MS-DOS Document (5.0),3,
_austr,Unidentified,3,
f04,Unidentified,3,
xls-{6,Unidentified,3,
01cc,Unidentified,3,
com%26,Unidentified,3,
0607,Unidentified,3,
c70,EBCDIC-US,3,
12_pol,Unidentified,3,
troop%,Unidentified,3,
off,8-bit ASCII Text,3,
pmw,Unidentified,3,
11_blo,Unidentified,3,
_cq,Unidentified,3,
12_reu,Unidentified,3,
17_cso,Unidentified,3,
0%26id,Unidentified,3,
txt-{6,Unidentified,3,
3;abr=,Unidentified,3,
com;ad,Unidentified,3,
",sked",Unidentified,3,
17_cnn,Unidentified,3,
rs2ge5,EBCDIC-US,3,
txt-{6,Unidentified,3,
tx-{c9,Unidentified,3,
com-un,Unidentified,3,
_affh,Unidentified,3,
cfg,Unidentified,3,
htm-{6,Unidentified,3,
,Portable Network Graphics (1.1),3,
gif-{6,Unidentified,3,
lw3,Unidentified,3,
gif-{6,Unidentified,3,
js-{69,Unidentified,3,
swf-{6,Unidentified,3,
lnk-{6,Unidentified,3,
n17,Unidentified,3,
networ,Unidentified,3,
re2js,Unidentified,3,
cpk,Unidentified,3,
feaver,Unidentified,3,
15-fed,Unidentified,3,
nau,Unidentified,3,
speech,Unidentified,3,
frm-{6,Unidentified,3,
supers,Unidentified,3,
_world,Unidentified,3,
myi-{6,Unidentified,3,
07a,WordPerfect for MS-DOS/Windows Document (5.1),3,
member,8-bit ASCII Text,3,
evacua,Unidentified,3,
m5,EBCDIC-US,3,
18_blo,Unidentified,3,
rfc481,Unidentified,3,
adga-{,Unidentified,3,
receiv,Unidentified,3,
19_jm_,Unidentified,3,
msn[1],Unidentified,3,
url-{6,Unidentified,3,
0%26id,Unidentified,3,
0224,Unidentified,3,
11-03s,Unidentified,3,
102,WordPerfect for MS-DOS Document (5.0),3,
htm-{6,Unidentified,3,
alertd,Unidentified,3,
gif-{6,Unidentified,3,
67%26i,Unidentified,3,
x8,Unidentified,3,
_acass,Unidentified,3,
_print,Unidentified,3,
d-{89d,Unidentified,3,
ad-{69,Unidentified,3,
xe,Unidentified,3,
3;abr=,Unidentified,3,
wh2,Unidentified,3,
obmsow,Unidentified,3,
jpg-{6,Unidentified,3,
pdf-{e,Unidentified,3,
hpf,8-bit ASCII Text,3,
rail,Unidentified,3,
_lds,Unidentified,3,
jtb,Unidentified,3,
you,WordPerfect for MS-DOS/Windows Document (6.0),3,
_medic,Unidentified,3,
3728,Unidentified,3,
01),Unidentified,3,
mode1v,Unidentified,3,
08-tom,Unidentified,3,
chilli,Unidentified,3,
1926_0,Unidentified,3,
mrg,WordPerfect for MS-DOS/Windows Document (6.0),3,
200531,Unidentified,3,
17_mcc,Unidentified,3,
dem,WordPerfect for MS-DOS Document (5.0),3,
tn03,EBCDIC-US,3,
pusb09,EBCDIC-US,3,
tx-{69,Unidentified,3,
2018_j,Unidentified,3,
sol-{8,Unidentified,3,
base,Unidentified,3,
mbsa,Unidentified,3,
br,WordPerfect for MS-DOS/Windows Document (6.0),3,
dwfx,Unidentified,3,
specre,Unidentified,3,
17_fif,Unidentified,3,
cid,EBCDIC-US,3,
2pr,Unidentified,3,
com%26,Unidentified,3,
gif-{6,Unidentified,3,
18_wp_,Unidentified,3,
ref,EBCDIC-US,3,
_brad,Unidentified,3,
onesta,Unidentified,3,
skn,WordPerfect for MS-DOS Document (5.0),3,
help-h,Unidentified,3,
samag,8-bit ASCII Text,3,
11a,Unidentified,3,
fileat,Unidentified,3,
com%26,Unidentified,3,
volcan,Unidentified,3,
slo,8-bit ASCII Text,3,
sas7bn,SAS Index file,3,
png-{6,Unidentified,3,
ini-{6,Unidentified,3,
-1,Unidentified,3,
20_pac,Unidentified,3,
%20eng,Unidentified,3,
2018_a,Unidentified,3,
pl,8-bit ASCII Text,3,
pof,Unidentified,3,
doc-{e,Unidentified,3,
17_wir,Unidentified,3,
_erpco,Unidentified,3,
sls,Unidentified,3,
sca,WordPerfect for MS-DOS Document (5.0),3,
