extension,File Format,count,NARA Format ID
doc,OLE2 Compound Document Format,31938,
inf,Windows Setup Information File,31808,NF00450
ov,Unidentified,31546,
hlp,Microsoft WinHelp,30811,NF00698
pfm|afm,Adobe Type 1 PostScript Adobe Font Metrics or Print Font Metrics File,30446,NF00538
bat|cmd|btm,Batch Script,30024,NF00134
aspx,Microsoft ASP.NET,30019,NF00583
mem,Microsoft FoxPro Variable File,29682,
xmp,8-bit ASCII Text,27824,
mxf,Material Exchange Format,27176,NF00245
chm,Microsoft Compiled HTML Help,27155,NF00700
json|txt,JavaScript Object Notation (JSON),27108,NF00218
in_,Unidentified,27036,
rep,SAP BusinessObjects Report,26966,NF00699
plt,Plotter file unspecified version,26172,NF00666
tex,LaTeX Master Document,25576,NF00225
jpg,JTIP (JPEG Tiled Image Pyramid),24918,
otf|ttf,OpenType Font,24532,NF00601
vsd,Microsoft Visio Drawing unspecified version,23837,NF00299
evt,Event log,23730,
py,Python Source Code Script,23599,NF00389
cpd|cph|cpo,Corel Print House version 5,23360,NF00701
ai|pdf,Adobe Illustrator unspecified version,23262,NF00667
do,Java Servlet Component,23045,NF00703
vob,Video Object File,22520,NF00437
1,Multipart Data Archive Part 1,21835,
1,Man page,21835,
xmp,Extensible Metadata Platform,21594,
cod,BlackBerry Binary Executable,21378,NF00702
cms,LexisNexis CaseMap Script,20771,
idx,Movie Subtitle Index File,20657,
idx,Index file,20657,
o,C/C++ Object File Code,20559,
f,Fortran Source Code,20292,
asp,Microsoft Active Server Page,20190,NF00257
ico,Icon file format,20110,NF00210
msg,Microsoft Outlook Email Message (97-2003),19652,
,WordPerfect for MS-DOS Document (5.0),19587,
wk4,Lotus 1-2-3 Worksheet 4.0/5.0,19387,NF00231
svg,Scalable Vector Graphics unspecified version,19325,NF00844
pdf,Acrobat PDF/A - Portable Document Format (1b),19061,
vcf,Virtual Contact File (vCard),18015,
e,Unidentified,17961,
tif,Tagged Image File Format (4),17916,
tif,Tagged Image File Format (6),17916,
tif,Tagged Image File Format (3),17916,
tif,Tagged Image File Format (5),17916,
cvr,Fax Cover Sheet,17888,
olk14e,Unidentified,17725,
tail,Unidentified,17696,
nib,Apple Interface Builder,17510,
sys,Portable Executable file unspecified version,17085,
lst,Data List File,16829,NF00710
sthlp,Unidentified,16714,
cab,Windows Cabinet File,16175,NF00445
17,Unidentified,16019,
18,Unidentified,15890,
