,extension,count
423,i386,1
424,iby,6
425,icn,1
426,icns,1
427,ico,15
428,ide,1
429,ido,1
430,ids,2
431,idx,4
432,ifo,200
433,igmt,1
434,ijm,1
435,ill,8
436,img,12
437,iml,1
438,in,302
439,inc,79
440,inc_shipped,1
441,include,1
442,ind,2
443,indexarrays,17
444,indexbigdates,5
445,indexcompactdirectory,17
446,indexdirectory,17
447,indexgroups,17
448,indexhead,17
449,indexids,17
450,indexpositions,17
451,indexpositiontable,15
452,indexpostings,17
453,indextermids,15
454,indexupdates,16
455,inf,16
456,ini,14
457,ini-dist,1
458,ini-optimized,1
459,ini~,1
460,inl,2
461,inp,22
462,ins,3
463,install,2
464,int64_t,6
465,interval,1
466,inv,1
467,ioctl,1
468,iosched,1
469,ips,1
470,ipw2100,1
471,ipw2200,1
472,ipynb,2
473,ir,1
474,isl,3
475,ism,2
476,iso,620
477,iso-kr,1
478,iso-pl,1
479,iso-ru,1
480,iso8859-8,1
481,iss,6
482,it,1
483,ivtv,2
484,ix,8
485,ja,1
486,jar,43
487,jarcontent,1
488,java,221
489,jis,47
490,job,51
491,jpeg,11
492,jpegwc,6
493,jpg,85513
494,js,43
495,kdump,1
496,kml,2
497,ko,4
498,kohnn,1
499,koi8-r,1
500,l,5
501,la,3
502,lai,1
503,ld,21
504,ldb,18
505,lds,13
506,legacy,2
507,less,91
508,lgo,3
509,li$,1
510,lib,91
511,libfdt,1
512,lion,7
513,lis,6
514,llr,1
515,lnk,2
516,lo,20
517,loc,10
518,locking,1
519,loc~,1
520,lof,4
521,log,431
522,log#,1
523,log~,22
524,longley,1
525,lot,4
526,lpfc,1
527,lst,11
528,lua,6
529,lyx#,1
530,m,1108
531,m0v,3
532,m1v,2
533,m32,9
534,m4,111
535,m4a,441
536,m4v,4
537,macros,2
538,mailif,1
539,mak,8
540,make_distro,1
541,makerule,1
542,man,12
543,manifest,5
544,map,11
545,mash,6
546,mat,431
547,md,19
548,md5,5
549,mdb,36
550,mdl,1
551,me,3
552,megaraid,2
553,megaraid_sas,1
554,memoryleak,3
555,met,16
556,mf,1
557,mingw,3
558,misc,6
559,mk,12
560,mkf,2
561,mm,2
562,mmp,6
563,mms,1
564,mo,195
565,mod,5
566,modes,1
567,modified,4
568,modinst,1
569,modpost,1
570,modreg,1
571,modules,1
572,mol2,19
573,morum,1
574,motor,1
575,mov,463
576,mp3,603
577,mp4,526
578,mpeg,17
579,mpg,28
580,mpv,9
581,mre,1
582,ms2,1
583,msc,3
584,msg,31
585,msi,746
586,mtp,1
587,mtx,3
588,multi_socket,3
589,mxd,1
590,mxf,1
591,myd,63
592,myi,63
593,m~,28
594,n,515
