extension,count
gif,140817053
jp2,189856045
tif,166889861
xml,104377330
jpg,128739786
pdf,76043555
txt,49473399
(no extension),30454228
gz,18114816
png,10562766
i41,16336354
xhtml,4959629
i42,5305813
xhtml_crossref,4142192
onx,1570240
epub,1467084
fti,2214206
docx,849534
mp3,1477748
i21,1443561
ati,1429366
pti,1428325
xlsx,726944
cdx,41160
jpeg,1235690
lti,1219776
zip,827363
html,926145
fit,1099824
htm,892178
xml_crossref,1075070
dpx,1074441
vdt,881213
wav,768801
doc,597018
rtp,739501
aft,667308
lft,625843
pcx,585837
md5,220217
i22,580651
pft,565546
nti,519172
xls,402351
csv,217138
fasta,406736
eps,171011
jti,428878
tre,426790
svg,404358
json,284197
i4a,384876
mp4,115899
fa,301242
dat,280702
db,237423
dng,266698
pssm,83767
cr2,136982
faa,269437
props,268632
njt,258596
sgm,225298
data,153553
tiff,172754
tfw,181149
mpg,182422
i23,178923
dbf,168264
i2a,167895
obj,162547
sid,164666
rat,162137
rax,160329
lyr,159205
sdw,157653
sum,157105
avi,71390
shp,151804
shx,150465
prj,139238
ent,41496
bmp,110658
mov,73463
i24,139052
ovr,122611
tl1,138013
h,59844
nef,130127
log,119035
flv,125120
adf,124598
exe,73642
c,68328
class,76477
tl2,111461
dll,69206
mrk,108627
vob,95904
js,86336
aux,101145
copy0,97056
sbx,96936
sbn,96154
tti,95658
swf,81469
gdbtable,88864
gdbtablx,88128
jdb,87513
gdbindexes,86496
pptx,64815
iso,72633
m,41671
java,64719
cpp,35008
ljt,78029
cpg,71751
npy,
spx,71641
img,65615
px,69025
topology,62415
ajt,65058
i25,64425
lrprev,64029
vasp,
ds_store,41835
py,23175
rxn,59063
shtml,57372
fro,
ifo,52754
nit,55795
css,47791
bin,53470
bup,50710
nnx,53654
ods,51189
ini,29310
i12,51788
r,35060
dt0,51188
mol,27408
tft,48472
wma,20855
ppt,37565
tc1,45545
tab,44896
hdr,44459
pdb,118
dt1,44024
atx,42912
frz,
bil,41488
rtf,32297
hpp,
i26,39685
boo,
wpd,36454
ico,20977
sm2,36353
snr,34843
lbl,34817
dl_,21768
tl3,33349
mat,22622
cab,18198
dtd,25367
i11,30070
cmp,28995
mxf,27459
pm,18726
cif,
map,26006
i2b,29342
min,28707
max,26118
frl,
tsv,
bak,21758
avg,25614
xsl,
hdf,
hnet,25072
dcm,
ris,24413
mobi,24419
tla,22768
pl,16224
cat,17595
blw,23577
dfm,
tt2,23180
fas,19498
sif,22086
icm,22420
inf,16437
toc,22071
ogg,20142
tbl,
cos,19318
avl,19879
frm,974
i13,17930
vfo,20122
raw,18496
out,
trc,
ps,16175
rdata,
pic,
bat,251
lck,17816
rpm,
e00,16142
dt2,16685
bpt,17463
tca,
mdb,125
cof,
tl4,
cop,16839
arc,16508
idx,
tc2,16307
dump,16153
psd,228
cot,
fgd,
pgi,
readme,
fil,
cmx,
php,148
stk,
kmz,
h5,
xft,
jar,
jtp,
l01,
inc,186
aif,1903
hlp,
dir,103
cxml,
rl2,
vcf,
ex_,
info,
dic,
mod,213
new,
chk,228
ref,
omt,
pas,
motif,
i27,
lst,
xmp,
par,
rc,
lib,
treefile,
mak,
svn-base,
sh,
temp,
xsf,
mrf,
sou,
vbp,
sec,
pjg,
nec,
mae,
neh,
seh,
swc,
swh,
nwc,
nwh,
wmv,
auf,
l02,
z,
sdf,
tmp,911
dxr,
edi,
cda,
dib,
tex,116
ab1,
nib,
bas,
mm1,
def,
l03,
yml,
i14,
x32,151
err,
k71,
gbk,
ros,
dsp,
wrl,
db_,
cytable,
aln,
gb,
pct,
au,131
l04,
pro,479
peaks,
bed,
tar,
dwg,
res,
pmets,
swa,2977
ivt,
ai,
idat,
rar,
tc3,
aspx,2536
in,
tl5,
sfk,
pyc,
mse,
tfwx,
in_,
wps,
pjpeg,
gra,
l05,
rrd,
pfb,
pfm,
rd,
met,
rr1,
pp_,
stx,
ttf,
dv,
tcl,
sub,
f,156
ul1,
cla,
fly,
mts,119
fcs,
frx,
emf,
sql,
vbw,
cxt,133
strings,
vts,
download,
tga,
wmf,102
dsw,
sto,
al,
cs,
rds,
ddf,
sav,
mid,
l06,
sfl,
tl6,
mol2,
summary,
ne1,
pkg,
enx,
gblo,
matches,
so,
wrk,
ptf,
var,
gls,
k72,
api,
rsrc,
dbg,
drv,
pfa,
deb,
o,
rc2,
exp,
iiq,
msg,
mno,
ram,
hl_,189
dcr,
sys,
state,
txx,
lcc,
prn,
ocx,
opt,127
pod,
bks,
asc,
emz,
asm,
st,
namelist,
gff,
imfl,
mdp,
nl_,
m4v,
clu,
mus,
ldb,
output,
f51,
f52,
f53,
f55,
f57,
f58,
f5a,
f5i,
f5p,
f5r,
f54,
cfg,159
kgml,
k81,
cls,
mtw,
md,
cxx,
dpr,
ins,
k82,
m4a,252
ndx,
plist,
vbx,
ort,
jmp,
webm,
old,
pfx,
gpk,
itp,
k31,
mnu,
clw,
ppd,
eml,1247
inp,
wri,
jav,
meta,
msv,1615
dgp,
for,118
xpt,
dxf,
job,
ncb,
asp,
com,
ega,
seq,144
vga,
gen,125
k32,
c62,
tba,
cur,
k21,
packlist,
ise,
stl,
mm2,
idl,
pr_,
nex,
rp_,
cff,
abt,
jpg_original,
tso,
cnt,
myd,882
myi,882
cc,
dcu,
i15,
fmt,
pkt,
vxd,
tlb,
elc,
tt1,
rda,
bes,
cpi,
qal,
wld,
c61,
fig,
hqx,
snip,
adt,
rout,
mz2,
atm,
cph,
thf,
pos,618
utm,
cst,
afx,
lbxadd,
icns,
rr2,
file,
plg,
bm_,
properties,
do,
url,764
del,
scr,
id,
reg,
pdd,131
thm,
pse,
pal,
lnk,621
el,
inl,
arw,
t,
f90,
mst,
lsp,
mnova,
ca1,
stp,
ipynb,
lab,
rm,
aiff,
cub,
prc,
fna,
sc2replay,
mtp,
mma,
h_,
ifl,1066
cue,278
mtl,
nls,
lfx,
djvu,
c12,
wk1,
f5g,
tgz,
dta,
mdf,
cus,
cel,
grh,
d,
msi,
pge,
ldf,
i2c,
act,
i28,
vi,
rmd,
tf3,
nlb,
sy_,
did,
ads,
dr_,
pkl,
ddd,
nb,
chm,
dup,
k11,
mapidhdl,
ula,
gpml,
pdz,
manifest,
llb,
ctd,
gp,
ecs,
mem,670
wbk,820
aps,
tag,
vtk,
mp2,
tpc,
ptx,
s,
icon,
rr3,
sln,
mo,
shadow,
xbm,
set,
voc,
bk!,681
fon,
vb,
accdb,
wa_,
c11,
fo_,
sym,
dra,778
deu,
msb,
ctl,
ses,
k8a,
cap,
xlsm,
tx_,
f5f,
nii,
ecw,
pls,
cn_,
mrc,
dlg,
ca2,
mxd,
des,
fm2,
diz,
phn,
sdt,
xpm,
xrf,
thmx,123
pub,160
con,448
wga,541
upd,523
wd2,298
cov,472
wp,142
mht,346
iso01,137
ltr,282
let,377
dvf,380
dot,136
pst,283
pr,140
flc,108
sta,102
scn,111
fax,251
wp5,227
pwp,251
rec,105
jil,235
hcf,214
fileslack,142
enl,191
wpm,124
rsc,110
sem,149
atp,120
at1,100
rptor,
rragd,
rrm1,
s15a,
s15p,
sap40,
sco1-mito,
scsb,
sec23,
sf3b2,
sim,
snd1,
sptc2,
sptlc1,
sra,
srp54,
stxbp1,
suca,
sygm1,
synj,
tfiid,
tm9sf1,
topo1,
uba3,
ubc,
ube12,
ube2j2,
ubq,
vapa,
vata,
vatb,
vatc,
vate,
vbp1,
wbscr22,
wd66,
weo,100
xpb,
xrp2,
acv,
m2t,
tv,
kim,
sct,
as_,
jpn,
trf,
usa,
wad,
xib,
chr,
vpj,
bcp,
dls,
k1a,
k7b,
pages,
policy,
prt,
blib,
dei,
rcp,
rgb,
run,
a4p,
es3,
imp,
ls_,
pop,
fu,
clt,
gnu,
icx,
not,
xlt,
anx,
f90~,
octet-stream,
val,
csd,
gradle,
sed,
templ,
apm,
bit,
fid,
sqc,
cf,
f4v,
gfx,
jvx,
module,
at2,
fasta-gb,
isu,
mop,
spt,
tis,
wk4,
heic,
slackbuild,
tmpl,
cja,
dem,
htc,
lf6,
xy,
pbs,
ave,
bro,
fst,
kr1,
qbe,
wp_,
l07,
olb,
pep,
acm,
ele,
fl_,
gsp,
install,
ml,
nd_,
oca,
prefs,
srf,
afa,
d12,
iml,
mlm,
ps1,
sea,
b,
csx,
exyz,
ipf,
ita,
rep,
t3d,
dss,
nam,
ver,
cs2,
lit,
ppsx,
srv,
dfd,
fsl,
nt_,
sam,
tdt,
ts_,
vrx,
wb_,
dbx,
dex,
n30,
nsh,
tc4,
dn,
faq,
adp,
crw,
mc,
rev,
rh,
sldasm,
a1,
ad4,
fb,
gsf,
hst,
ggo,
msc,
noindex,
a5r,
asv,
de,
dvi,
fx,
ke2,
