,,,MIME,,Format,,Version,,extension,,count,,,Size,,,
217,53,29,image/jp2,,JPEG 2000 JP2,,14.4,,.jp2,,"2,977",0.00%,,"55,292,191,527",55.3,GB,0.01%
218,53,30,image/jp2,,JPEG 2000 JP2,,14.4.1,,.jp2,,"54,009",0.05%,,"414,768,431,386",414.8,GB,0.08%
219,53,31,image/jp2,,JPEG 2000 JP2,,14.5,,.jp2,,"155,667",0.14%,,"1,291,736,977,653",1.3,TB,0.24%
220,53,32,image/jp2,,JPEG 2000 JP2,,15,,.jp2,,"13,249",0.01%,,"299,672,116,325",299.7,GB,0.06%
221,53,33,image/jp2,,JPEG 2000 JP2,,15.1,,.jp2,,175,0.00%,,"3,091,287,881",3.1,GB,0.00%
222,53,34,image/jp2,,JPEG 2000 JP2,,15.1.1,,.jp2,,629,0.00%,,"18,949,388,147",18.9,GB,0.00%
223,53,35,image/jp2,,JPEG 2000 JP2,,15.2,,.jp2,,"43,748",0.04%,,"330,223,536,776",330.2,GB,0.06%
224,53,36,image/jp2,,JPEG 2000 JP2,,15.3,,.jp2,,"5,662",0.00%,,"54,543,690,148",54.5,GB,0.01%
225,53,37,image/jp2,,JPEG 2000 JP2,,15.3.1,,.jp2,,"35,652",0.03%,,"205,570,568,176",205.6,GB,0.04%
226,53,38,image/jp2,,JPEG 2000 JP2,,15.4,,.jp2,,"5,454",0.00%,,"73,578,611,744",73.6,GB,0.01%
227,53,39,image/jp2,,JPEG 2000 JP2,,15.4.1,,.jp2,,"13,553",0.01%,,"124,419,736,692",124.4,GB,0.02%
228,53,40,image/jp2,,JPEG 2000 JP2,,15.5,,.jp2,,"6,956",0.01%,,"103,514,806,788",103.5,GB,0.02%
229,53,41,image/jp2,,JPEG 2000 JP2,,15.5.1,,.jp2,,"8,300",0.01%,,"128,131,628,570",128.1,GB,0.02%
230,53,42,image/jp2,,JPEG 2000 JP2,,16,,.jp2,,"64,693",0.06%,,"758,317,686,357",758.3,GB,0.14%
231,53,43,image/jp2,,JPEG 2000 JP2,,16.0.1,,.jp2,,"7,888",0.01%,,"41,837,761,171",41.8,GB,0.01%
232,53,44,image/jp2,,JPEG 2000 JP2,,16.1,,.jp2,,"71,477",0.06%,,"538,682,618,855",538.7,GB,0.10%
233,53,45,image/jp2,,JPEG 2000 JP2,,16.1.1,,.jp2,,"54,008",0.05%,,"368,708,671,539",368.7,GB,0.07%
234,53,46,image/jp2,,JPEG 2000 JP2,,16.2,,.jp2,,"13,297",0.01%,,"116,537,262,339",116.5,GB,0.02%
235,53,47,image/jp2,,JPEG 2000 JP2,,16.2.1,,.jp2,,"4,266",0.00%,,"36,896,132,236",36.9,GB,0.01%
236,53,48,image/jp2,,JPEG 2000 JP2,,16.3,,.jp2,,10,0.00%,,"163,887,839",163.9,MB,0.00%
237,53,49,image/jp2,,JPEG 2000 JP2,,2,,.jp2,,67,0.00%,,"609,672,574",609.7,MB,0.00%
238,53,50,image/jp2,,JPEG 2000 JP2,,3,,.jp2,,"1,719",0.00%,,"12,993,991,141",13,GB,0.00%
239,53,51,image/jp2,,JPEG 2000 JP2,,3.2,,.jp2,,60,0.00%,,"472,966,486",473,MB,0.00%
240,53,52,image/jp2,,JPEG 2000 JP2,,3.3,,.jp2,,1,0.00%,,"8,541,871",8.5,MB,0.00%
241,53,53,image/jp2,,JPEG 2000 JP2,,3.6,,.jp2,,"3,893",0.00%,,"82,166,989,995",82.2,GB,0.02%
242,53,54,image/jp2,,JPEG 2000 JP2,,3.7,,.jp2,,72,0.00%,,"734,290,318",734.3,MB,0.00%
243,53,55,image/jp2,,JPEG 2000 JP2,,4,,.jp2,,46,0.00%,,"586,613,850",586.6,MB,0.00%
244,53,56,image/jp2,,JPEG 2000 JP2,,4.0x168,,.jp2,,2,0.00%,,"11,832,813",11.8,MB,0.00%
245,53,57,image/jp2,,JPEG 2000 JP2,,4.3.1,,.jp2,,124,0.00%,,"1,200,302,612",1.2,GB,0.00%
246,53,58,image/jp2,,JPEG 2000 JP2,,4.4.1,,.jp2,,154,0.00%,,"1,303,669,397",1.3,GB,0.00%
247,53,59,image/jp2,,JPEG 2000 JP2,,4.5,,.jp2,,244,0.00%,,"882,940,820",882.9,MB,0.00%
248,53,60,image/jp2,,JPEG 2000 JP2,,4.6,,.jp2,,81,0.00%,,"71,431,830",71.4,MB,0.00%
249,53,61,image/jp2,,JPEG 2000 JP2,,5,,.jp2,,68,0.00%,,"582,601,385",582.6,MB,0.00%
250,53,62,image/jp2,,JPEG 2000 JP2,,5.3,,.jp2,,22,0.00%,,"199,827,269",199.8,MB,0.00%
251,53,63,image/jp2,,JPEG 2000 JP2,,5.5,,.jp2,,"2,272",0.00%,,"20,640,144,440",20.6,GB,0.00%
252,53,64,image/jp2,,JPEG 2000 JP2,,5.7,,.jp2,,"2,434",0.00%,,"7,402,519,633",7.4,GB,0.00%
253,53,65,image/jp2,,JPEG 2000 JP2,,6,,.jp2,,"6,036",0.01%,,"6,647,753,086",6.6,GB,0.00%
254,53,66,image/jp2,,JPEG 2000 JP2,,6.1,,.jp2,,46,0.00%,,"1,641,244,367",1.6,GB,0.00%
255,53,67,image/jp2,,JPEG 2000 JP2,,6.2,,.jp2,,4,0.00%,,"32,551,369",32.6,MB,0.00%
256,53,68,image/jp2,,JPEG 2000 JP2,,6.4.1,,.jp2,,290,0.00%,,"4,588,654,149",4.6,GB,0.00%
257,53,69,image/jp2,,JPEG 2000 JP2,,6.5,,.jp2,,29,0.00%,,"324,018,146",324,MB,0.00%
258,53,70,image/jp2,,JPEG 2000 JP2,,6.6,,.jp2,,2,0.00%,,"10,846,298",10.8,MB,0.00%
259,53,71,image/jp2,,JPEG 2000 JP2,,6.7,,.jp2,,"11,187",0.01%,,"47,178,233,331",47.2,GB,0.01%
260,53,72,image/jp2,,JPEG 2000 JP2,,7,,.jp2,,150,0.00%,,"1,812,585,895",1.8,GB,0.00%
261,53,73,image/jp2,,JPEG 2000 JP2,,7.1,,.jp2,,25,0.00%,,"541,501,776",541.5,MB,0.00%
262,53,74,image/jp2,,JPEG 2000 JP2,,7.3,,.jp2,,2,0.00%,,"52,929,385",52.9,MB,0.00%
263,53,75,image/jp2,,JPEG 2000 JP2,,7.4,,.jp2,,6,0.00%,,"38,894,968",38.9,MB,0.00%
264,53,76,image/jp2,,JPEG 2000 JP2,,8,,.jp2,,35,0.00%,,"240,080,968",240.1,MB,0.00%
265,53,77,image/jp2,,JPEG 2000 JP2,,8.1,,.jp2,,335,0.00%,,"4,018,579,419",4,GB,0.00%
266,53,78,image/jp2,,JPEG 2000 JP2,,8.2,,.jp2,,403,0.00%,,"15,279,850,829",15.3,GB,0.00%
267,53,79,image/jp2,,JPEG 2000 JP2,,8.3,,.jp2,,"374,746",0.33%,,"2,911,249,464,758",2.9,TB,0.54%
268,53,80,image/jp2,,JPEG 2000 JP2,,8.4,,.jp2,,27,0.00%,,"104,468,150",104.5,MB,0.00%
269,53,81,image/jp2,,JPEG 2000 JP2,,8.5,,.jp2,,"73,896",0.06%,,"637,827,080,228",637.8,GB,0.12%
270,53,82,image/jp2,,JPEG 2000 JP2,,8.6,,.jp2,,"14,977",0.01%,,"242,063,477,115",242.1,GB,0.04%
271,53,83,image/jp2,,JPEG 2000 JP2,,8.7,,.jp2,,"196,563",0.17%,,"782,142,706,329",782.1,GB,0.14%
272,53,84,image/jp2,,JPEG 2000 JP2,,8.7.1,,.jp2,,"372,427",0.33%,,"2,427,296,958,450",2.4,TB,0.45%
273,53,85,image/jp2,,JPEG 2000 JP2,,8.8,,.jp2,,"1,397",0.00%,,"6,500,851,210",6.5,GB,0.00%
274,53,86,image/jp2,,JPEG 2000 JP2,,9,,.jp2,,"10,618",0.01%,,"76,045,948,525",76,GB,0.01%
275,53,87,image/jp2,,JPEG 2000 JP2,,9.1,,.jp2,,"2,962",0.00%,,"60,719,643,029",60.7,GB,0.01%
276,53,88,image/jp2,,JPEG 2000 JP2,,9.1.1,,.jp2,,"1,381,791",1.21%,,"9,705,925,066,298",9.7,TB,1.79%
277,53,89,image/jp2,,JPEG 2000 JP2,,9.1,,.jp2,,446,0.00%,,"5,513,767,632",5.5,GB,0.00%
278,53,90,image/jp2,,JPEG 2000 JP2,,9.10.1,,.jp2,,"1,713",0.00%,,"6,663,053,844",6.7,GB,0.00%
279,53,91,image/jp2,,JPEG 2000 JP2,,9.12,,.jp2,,"2,824",0.00%,,"36,248,877,601",36.2,GB,0.01%
280,53,92,image/jp2,,JPEG 2000 JP2,,9.12.1,,.jp2,,111,0.00%,,"1,611,532,799",1.6,GB,0.00%
281,53,93,image/jp2,,JPEG 2000 JP2,,9.2,,.jp2,,399,0.00%,,"9,852,522,481",9.9,GB,0.00%
282,53,94,image/jp2,,JPEG 2000 JP2,,9.4,,.jp2,,2,0.00%,,"119,392,900",119.4,MB,0.00%
283,53,95,image/jp2,,JPEG 2000 JP2,,9.6,,.jp2,,"2,120",0.00%,,"42,374,642,225",42.4,GB,0.01%
284,53,96,image/jp2,,JPEG 2000 JP2,,9.6.1,,.jp2,,"4,974",0.00%,,"112,266,215,824",112.3,GB,0.02%
285,53,97,image/jp2,,JPEG 2000 JP2,,9.7,,.jp2,,61,0.00%,,"499,265,484",499.3,MB,0.00%
286,53,98,image/jp2,,JPEG 2000 JP2,,9.8,,.jp2,,"1,161",0.00%,,"17,915,156,217",17.9,GB,0.00%
287,53,99,image/jp2,,JPEG 2000 JP2,,9.9,,.jp2,,917,0.00%,,"21,211,045,943",21.2,GB,0.00%
288,53,100,image/jp2,,JPEG 2000 JP2,,,,.jp2,,"39,622,760",34.58%,,"147,025,803,144,608",147,TB,27.16%
289,53,101,image/jp2,,JPEG 2000 JP2,,,,.jpf,,2,0.00%,,"17,377,734",17.4,MB,0.00%
290,53,102,image/jp2,,JPEG 2000 JP2,,,,.jpg,,23,0.00%,,"2,301,080",2.3,MB,0.00%
291,54,1,image/jpeg,,Exchangeable Image File Format,,130,,.jpg,,35,0.00%,,"54,963,987",55,MB,0.00%
292,54,2,image/jpeg,,Exchangeable Image File Format,,2.1,,.jpg,,320,0.00%,,"278,676,625",278.7,MB,0.00%
293,54,3,image/jpeg,,Exchangeable Image File Format,,2.1,,.tif,,139,0.00%,,"36,975,911,260",37,GB,0.01%
294,54,4,image/jpeg,,Exchangeable Image File Format,,2.2,,.jpg,,"9,003",0.01%,,"13,806,117,658",13.8,GB,0.00%
295,54,5,image/jpeg,,Exchangeable Image File Format,,2.2,,.tif,,2,0.00%,,"824,864,684",824.9,MB,0.00%
296,54,6,image/jpeg,,Exchangeable Image File Format,,2.2.1,,.jpg,,939,0.00%,,"2,022,056,940",2,GB,0.00%
297,54,7,image/jpeg,,Exchangeable Image File Format,,2.21,,.jpg,,"2,015",0.00%,,"10,011,329,502",10,GB,0.00%
298,54,8,image/jpeg,,Exchangeable Image File Format,,2.3,,.jpg,,"3,300",0.00%,,"11,152,113,241",11.2,GB,0.00%
299,54,9,image/jpeg,,Exchangeable Image File Format,,3.2,,.jpg,,6,0.00%,,"2,009,840",2,MB,0.00%
300,54,10,image/jpeg,,Exchangeable Image File Format,,3.7,,.jpg,,4,0.00%,,"1,770,270",1.8,MB,0.00%
301,54,11,image/jpeg,,Exchangeable Image File Format,,4,,.jpg,,4,0.00%,,"1,111,413",1.1,MB,0.00%
302,54,12,image/jpeg,,Exchangeable Image File Format,,5.2,,.jpg,,8,0.00%,,"3,951,260",4,MB,0.00%
303,54,13,image/jpeg,,Exchangeable Image File Format,,5.3,,.jpg,,6,0.00%,,"2,445,711",2.4,MB,0.00%
304,54,14,image/jpeg,,Exchangeable Image File Format,,5.7,,.jpg,,3,0.00%,,"18,733,155",18.7,MB,0.00%
305,54,15,image/jpeg,,Exchangeable Image File Format,,6,,.jpg,,"3,009",0.00%,,"1,044,131,248",1,GB,0.00%
306,54,16,image/jpeg,,Exchangeable Image File Format,,6.2,,.jpg,,150,0.00%,,"57,384,233",57.4,MB,0.00%
307,54,17,image/jpeg,,Exchangeable Image File Format,,6.3,,.jpg,,"1,252",0.00%,,"403,762,358",403.8,MB,0.00%
308,54,18,image/jpeg,,Exchangeable Image File Format,,6.4.1,,.jpg,,122,0.00%,,"55,726,120",55.7,MB,0.00%
309,54,19,image/jpeg,,Exchangeable Image File Format,,6.5,,.jpg,,210,0.00%,,"105,644,032",105.6,MB,0.00%
310,54,20,image/jpeg,,Exchangeable Image File Format,,6.6,,.jpg,,445,0.00%,,"238,596,239",238.6,MB,0.00%
311,54,21,image/jpeg,,Exchangeable Image File Format,,6.7,,.jpg,,21,0.00%,,"52,073,950",52.1,MB,0.00%
312,54,22,image/jpeg,,Exchangeable Image File Format,,7.4,,.jpg,,44,0.00%,,"695,089,096",695.1,MB,0.00%
313,54,23,image/jpeg,,Exchangeable Image File Format,,8.5,,.jpg,,12,0.00%,,"60,066,417",60.1,MB,0.00%
314,54,24,image/jpeg,,Exchangeable Image File Format,,8.7,,.jpg,,1,0.00%,,"3,203,479",3.2,MB,0.00%
315,54,25,image/jpeg,,Exchangeable Image File Format,,8.7.1,,.jpg,,8,0.00%,,"6,018,129",6,MB,0.00%
316,54,26,image/jpeg,,Exchangeable Image File Format,,9,,.jpg,,16,0.00%,,"27,572,906",27.6,MB,0.00%
317,54,27,image/jpeg,,Exchangeable Image File Format,,9.1,,.jpg,,40,0.00%,,"107,344,825",107.3,MB,0.00%
318,54,28,image/jpeg,,Exchangeable Image File Format,,9.1.1,,.jpg,,54,0.00%,,"108,058,356",108.1,MB,0.00%
319,54,29,image/jpeg,,Exchangeable Image File Format,,9.2,,.jpg,,27,0.00%,,"52,812,623",52.8,MB,0.00%
320,54,30,image/jpeg,,Exchangeable Image File Format,,,,.jpg,,"12,585",0.01%,,"12,303,008,437",12.3,GB,0.00%
321,54,31,image/jpeg,,JPEG,,,,.jpeg,,15,0.00%,,"11,017,676",11,MB,0.00%
322,54,32,image/jpeg,,JPEG,,,,.jpg,,"27,676",0.02%,,"6,517,220,478",6.5,GB,0.00%
323,54,33,image/jpeg,,JPEG EXIF,,1.01,,.bjpg,,8,0.00%,,"4,694,086",4.7,MB,0.00%
324,54,34,image/jpeg,,JPEG EXIF,,1.01,,.i1kg130070019,,1,0.00%,,"2,999,204",3,MB,0.00%
325,54,35,image/jpeg,,JPEG EXIF,,1.01,,.i1kg130070028,,1,0.00%,,"2,662,581",2.7,MB,0.00%
326,54,36,image/jpeg,,JPEG EXIF,,1.01,,.i1kg143730076,,1,0.00%,,"510,251",510.3,KB,0.00%
327,54,37,image/jpeg,,JPEG EXIF,,1.01,,.i1kg143730083,,1,0.00%,,"1,386,704",1.4,MB,0.00%
328,54,38,image/jpeg,,JPEG EXIF,,1.01,,.i1kg143750214,,1,0.00%,,"1,724,097",1.7,MB,0.00%
329,54,39,image/jpeg,,JPEG EXIF,,1.01,,.jg,,1,0.00%,,"4,042,089",4,MB,0.00%
330,54,40,image/jpeg,,JPEG EXIF,,1.01,,.jpeg,,425,0.00%,,"1,156,581,677",1.2,GB,0.00%
331,54,41,image/jpeg,,JPEG EXIF,,1.01,,.jpg,,"228,336",0.20%,,"83,570,805,111",83.6,GB,0.02%
332,54,42,image/jpeg,,JPEG EXIF,,1.02,,.jpeg,,167,0.00%,,"454,241,646",454.2,MB,0.00%
333,54,43,image/jpeg,,JPEG EXIF,,1.02,,.jpg,,"3,041",0.00%,,"4,553,204,416",4.6,GB,0.00%
334,54,44,image/jpeg,,JPEG EXIF,,1.1,,.jpeg,,6,0.00%,,"9,813,409",9.8,MB,0.00%
335,54,45,image/jpeg,,JPEG EXIF,,1.1,,.jpg,,"3,664",0.00%,,"4,884,921,412",4.9,GB,0.00%
336,54,46,image/jpeg,,JPEG EXIF,,1.2,,.jpeg,,1,0.00%,,"107,166",107.2,KB,0.00%
337,54,47,image/jpeg,,JPEG EXIF,,1.2,,.jpg,,229,0.00%,,"1,374,979,328",1.4,GB,0.00%
338,54,48,image/jpeg,,JPEG EXIF,,10,,.jpg,,"1,116",0.00%,,"1,601,040,995",1.6,GB,0.00%
339,54,49,image/jpeg,,JPEG EXIF,,10.1,,.jpg,,"8,109",0.01%,,"2,982,904,799",3,GB,0.00%
340,54,50,image/jpeg,,JPEG EXIF,,10.2,,.jpg,,199,0.00%,,"2,979,596,190",3,GB,0.00%
341,54,51,image/jpeg,,JPEG EXIF,,100,,.jpg,,2,0.00%,,"2,904,678",2.9,MB,0.00%
342,54,52,image/jpeg,,JPEG EXIF,,11,,.jpg,,26,0.00%,,"307,977,972",308,MB,0.00%
343,54,53,image/jpeg,,JPEG EXIF,,11.4,,.jpg,,1,0.00%,,"20,980,665",21,MB,0.00%
344,54,54,image/jpeg,,JPEG EXIF,,11.4.1,,.jpg,,1,0.00%,,"7,455,430",7.5,MB,0.00%
345,54,55,image/jpeg,,JPEG EXIF,,12,,.jpg,,166,0.00%,,"702,895,940",702.9,MB,0.00%
346,54,56,image/jpeg,,JPEG EXIF,,12,,.jpg,,5,0.00%,,"3,959,027",4,MB,0.00%
347,54,57,image/jpeg,,JPEG EXIF,,12.2,,.jpg,,8,0.00%,,"27,545,844",27.5,MB,0.00%
348,54,58,image/jpeg,,JPEG EXIF,,12.3,,.jpg,,7,0.00%,,"99,865,663",99.9,MB,0.00%
349,54,59,image/jpeg,,JPEG EXIF,,12.4,,.jpg,,3,0.00%,,"84,068,824",84.1,MB,0.00%
350,54,60,image/jpeg,,JPEG EXIF,,126,,.jpg,,81,0.00%,,"331,782,314",331.8,MB,0.00%
351,54,61,image/jpeg,,JPEG EXIF,,13,,.jpg,,"20,212",0.02%,,"9,581,427,186",9.6,GB,0.00%
352,54,62,image/jpeg,,JPEG EXIF,,13,,.jpg,,7,0.00%,,"50,757,425",50.8,MB,0.00%
353,54,63,image/jpeg,,JPEG EXIF,,13.3,,.jpg,,1,0.00%,,"1,257,829",1.3,MB,0.00%
354,54,64,image/jpeg,,JPEG EXIF,,130,,.jpg,,789,0.00%,,"284,996,069",285,MB,0.00%
355,54,65,image/jpeg,,JPEG EXIF,,138,,.jpg,,77,0.00%,,"106,289,510",106.3,MB,0.00%
356,54,66,image/jpeg,,JPEG EXIF,,14,,.jpg,,52,0.00%,,"172,554,769",172.6,MB,0.00%
357,54,67,image/jpeg,,JPEG EXIF,,14,,.jpg,,1,0.00%,,"2,595,744",2.6,MB,0.00%
358,54,68,image/jpeg,,JPEG EXIF,,14.2,,.jpg,,101,0.00%,,"218,997,012",219,MB,0.00%
359,54,69,image/jpeg,,JPEG EXIF,,15,,.jpg,,277,0.00%,,"196,279,197",196.3,MB,0.00%
360,54,70,image/jpeg,,JPEG EXIF,,15,,.jpg,,2,0.00%,,"2,791,193",2.8,MB,0.00%
361,54,71,image/jpeg,,JPEG EXIF,,15.2,,.jpg,,1,0.00%,,"2,724,504",2.7,MB,0.00%
362,54,72,image/jpeg,,JPEG EXIF,,15.3.1,,.jpg,,1,0.00%,,"12,137,679",12.1,MB,0.00%
363,54,73,image/jpeg,,JPEG EXIF,,150,,.jpg,,102,0.00%,,"705,921,486",705.9,MB,0.00%
364,54,74,image/jpeg,,JPEG EXIF,,16,,.jpg,,685,0.00%,,"1,260,128,572",1.3,GB,0.00%
365,54,75,image/jpeg,,JPEG EXIF,,17,,.jpg,,98,0.00%,,"450,341,845",450.3,MB,0.00%
366,54,76,image/jpeg,,JPEG EXIF,,2,,.jpg,,1,0.00%,,"2,294,043",2.3,MB,0.00%
367,54,77,image/jpeg,,JPEG EXIF,,2.1,,.jpg,,"3,175",0.00%,,"8,372,624,430",8.4,GB,0.00%
368,54,78,image/jpeg,,JPEG EXIF,,2.2,,.jpeg,,1,0.00%,,"4,418,922",4.4,MB,0.00%
369,54,79,image/jpeg,,JPEG EXIF,,2.2,,.jpg,,"15,107",0.01%,,"26,002,680,561",26,GB,0.00%
370,54,80,image/jpeg,,JPEG EXIF,,2.2.1,,.jpeg,,"3,811",0.00%,,"9,234,083,761",9.2,GB,0.00%
371,54,81,image/jpeg,,JPEG EXIF,,2.2.1,,.jpg,,"9,870",0.01%,,"21,481,420,423",21.5,GB,0.00%
372,54,82,image/jpeg,,JPEG EXIF,,2.2.1,,.png,,1,0.00%,,"165,099",165.1,KB,0.00%
373,54,83,image/jpeg,,JPEG EXIF,,2.21,,.jpg,,2,0.00%,,"10,680,626",10.7,MB,0.00%
374,54,84,image/jpeg,,JPEG EXIF,,2.3,,.jpg,,"12,547",0.01%,,"17,567,300,284",17.6,GB,0.00%
375,54,85,image/jpeg,,JPEG EXIF,,2.3.x,,.jpeg,,114,0.00%,,"239,272,459",239.3,MB,0.00%
376,54,86,image/jpeg,,JPEG EXIF,,2.3.x,,.jpg,,993,0.00%,,"11,820,627,046",11.8,GB,0.00%
377,54,87,image/jpeg,,JPEG EXIF,,2.31,,.jpg,,340,0.00%,,"786,608,030",786.6,MB,0.00%
378,54,88,image/jpeg,,JPEG EXIF,,2.32,,.jpeg,,2,0.00%,,"241,293",241.3,KB,0.00%
379,54,89,image/jpeg,,JPEG EXIF,,28,,.jpg,,10,0.00%,,"50,939,070",50.9,MB,0.00%
380,54,90,image/jpeg,,JPEG EXIF,,3,,.jpg,,1,0.00%,,"4,152,697",4.2,MB,0.00%
381,54,91,image/jpeg,,JPEG EXIF,,50,,.jpg,,58,0.00%,,"152,764,918",152.8,MB,0.00%
382,54,92,image/jpeg,,JPEG EXIF,,6.6,,.jpg,,1,0.00%,,"281,559",281.6,KB,0.00%
383,54,93,image/jpeg,,JPEG EXIF,,6.7,,.jpg,,10,0.00%,,"20,073,942",20.1,MB,0.00%
384,54,94,image/jpeg,,JPEG EXIF,,7.4,,.jpg,,107,0.00%,,"230,139,645",230.1,MB,0.00%
385,54,95,image/jpeg,,JPEG EXIF,,7100,,.jpg,,8,0.00%,,"12,547,674",12.5,MB,0.00%
386,54,96,image/jpeg,,JPEG EXIF,,74,,.jpg,,312,0.00%,,"798,355,239",798.4,MB,0.00%
387,54,97,image/jpeg,,JPEG EXIF,,8.3,,.jpg,,225,0.00%,,"3,104,037,819",3.1,GB,0.00%
388,54,98,image/jpeg,,JPEG EXIF,,8.53,,.jpg,,13,0.00%,,"1,478,050",1.5,MB,0.00%
389,54,99,image/jpeg,,JPEG EXIF,,8.6,,.jpg,,2,0.00%,,"18,427,887",18.4,MB,0.00%
390,54,100,image/jpeg,,JPEG EXIF,,8.64,,.jpg,,9,0.00%,,"1,756,120",1.8,MB,0.00%
391,54,101,image/jpeg,,JPEG EXIF,,8.7.1,,.jpg,,2,0.00%,,"21,188,131",21.2,MB,0.00%
392,54,102,image/jpeg,,JPEG EXIF,,86,,.jpg,,1,0.00%,,"330,664",330.7,KB,0.00%
393,54,103,image/jpeg,,JPEG EXIF,,9,,.jpg,,"137,053",0.12%,,"55,412,626,198",55.4,GB,0.01%
394,54,104,image/jpeg,,JPEG EXIF,,9.1,,.jpg,,2,0.00%,,"77,418,913",77.4,MB,0.00%
395,54,105,image/jpeg,,JPEG EXIF,,9.1.1,,.jpg,,7,0.00%,,"40,641,457",40.6,MB,0.00%
396,54,106,image/jpeg,,JPEG EXIF,,9.12,,.jpg,,53,0.00%,,"245,777,398",245.8,MB,0.00%
397,54,107,image/jpeg,,JPEG EXIF,,9.3,,.jpg,,86,0.00%,,"728,660,979",728.7,MB,0.00%
398,54,108,image/jpeg,,JPEG EXIF,,9.4,,.jpg,,88,0.00%,,"36,665,541",36.7,MB,0.00%
399,54,109,image/jpeg,,JPEG EXIF,,9.6,,.jpg,,1,0.00%,,"5,352,362",5.4,MB,0.00%
400,54,110,image/jpeg,,JPEG EXIF,,95.67,,.jpg,,1,0.00%,,"2,788,583",2.8,MB,0.00%
401,54,111,image/jpeg,,JPEG EXIF,,98,,.jpg,,97,0.00%,,"393,375,279",393.4,MB,0.00%
402,54,112,image/jpeg,,JPEG EXIF,,,,.jpeg,,638,0.00%,,"2,244,659,172",2.2,GB,0.00%
403,54,113,image/jpeg,,JPEG EXIF,,,,.jpg,,"9,511",0.01%,,"26,918,891,538",26.9,GB,0.00%
404,54,114,image/jpeg,,JPEG File Interchange Format,,1,,.jpe,,10,0.00%,,"327,273",327.3,KB,0.00%
405,54,115,image/jpeg,,JPEG File Interchange Format,,1,,.jpeg,,1,0.00%,,"7,287,380",7.3,MB,0.00%
406,54,116,image/jpeg,,JPEG File Interchange Format,,1,,.jpg,,"870,154",0.76%,,"184,735,658,854",184.7,GB,0.03%
407,54,117,image/jpeg,,JPEG File Interchange Format,,1.01,,.i1kg52150060,,1,0.00%,,"203,422",203.4,KB,0.00%
408,54,118,image/jpeg,,JPEG File Interchange Format,,1.01,,.i1kg52500562,,1,0.00%,,"214,757",214.8,KB,0.00%
409,54,119,image/jpeg,,JPEG File Interchange Format,,1.01,,.jpeg,,"9,729",0.01%,,"8,392,337,626",8.4,GB,0.00%
410,54,120,image/jpeg,,JPEG File Interchange Format,,1.01,,.jpg,,"3,783,958",3.30%,,"1,989,435,444,856",2,TB,0.37%
411,54,121,image/jpeg,,JPEG File Interchange Format,,1.01,,.tif,,"2,449",0.00%,,"410,650,668",410.7,MB,0.00%
412,54,122,image/jpeg,,JPEG File Interchange Format,,1.02,,.jp2,,1,0.00%,,"2,146,169",2.1,MB,0.00%
413,54,123,image/jpeg,,JPEG File Interchange Format,,1.02,,.jpeg,,"34,960",0.03%,,"23,774,776,883",23.8,GB,0.00%
414,54,124,image/jpeg,,JPEG File Interchange Format,,1.02,,.jpg,,"1,191,682",1.04%,,"851,104,334,666",851.1,GB,0.16%
415,54,125,image/jpeg,,JPEG File Interchange Format,,1.02,,.jpg~,,1,0.00%,,"1,321,869",1.3,MB,0.00%
416,54,126,image/jpeg,,JPEG File Interchange Format,,1.02,,.tif,,15,0.00%,,"54,780,459",54.8,MB,0.00%
417,54,127,image/jpeg,,JPEG File Interchange Format,,255.254,,.jpg,,1,0.00%,,"39,931",39.9,KB,0.00%
418,55,1,image/jpx,,JPX (JPEG 2000 part 2),,,,.jp2,,52,0.00%,,"225,421,964",225.4,MB,0.00%
419,56,1,image/pict,,PICT,,,,,,2,0.00%,,"93,894",93.9,KB,0.00%
420,57,1,image/png,,Portable Network Graphics,,1,,.png,,44,0.00%,,"14,977,395",15,MB,0.00%
421,57,2,image/png,,Portable Network Graphics,,1.1,,.png,,58,0.00%,,"16,900,439",16.9,MB,0.00%
422,57,3,image/png,,Portable Network Graphics,,1.2,,.png,,111,0.00%,,"24,973,636",25,MB,0.00%
423,58,1,image/svg+xml,,Scalable Vector Graphics (SVG),,1.1,,.svg,,2,0.00%,,"1,238",1.2,KB,0.00%
424,59,1,image/tiff,,Exchangeable Image File Format (Uncompressed),,2.1,,.tif,,656,0.00%,,"191,413,950,872",191.4,GB,0.04%
425,59,2,image/tiff,,Exchangeable Image File Format (Uncompressed),,2.2,,.tif,,"8,377",0.01%,,"537,144,008,406",537.1,GB,0.10%
426,59,3,image/tiff,,Geographic Tagged Image File Format (GeoTIFF),,,,.tif,,4,0.00%,,"15,996,593",16,MB,0.00%
427,59,4,image/tiff,,TIFF Baseline bilevel (Class B),,4,,.tif,,221,0.00%,,"3,501,448,068",3.5,GB,0.00%
428,59,5,image/tiff,,TIFF Baseline bilevel (Class B),,5,,.tif,,84,0.00%,,"1,924,014,716",1.9,GB,0.00%
429,59,6,image/tiff,,TIFF Baseline bilevel (Class B),,6,,.tif,,5,0.00%,,"31,852,900",31.9,MB,0.00%
430,59,7,image/tiff,,TIFF Baseline palette-color (Class P),,5,,.tif,,226,0.00%,,"1,490,639,911",1.5,GB,0.00%
431,59,8,image/tiff,,TIFF DLF Benchmark for Faithful Digital Reproductions of Monographs and Serials: color,,5,,.tif,,"10,928",0.01%,,"94,263,655,152",94.3,GB,0.02%
