File Format ,Version,PRONOM PUID,count,extension
Extensible Stylesheet Language,       ,x-fmt/281,78,xsl|xslt
FileMaker Pro Database,7+,fmt/194,1,fp7
FL Studio project file (FLP),,fmt/733,5,flp
Folio Definition File,       ,fmt/1163,1,def
Freelance File,1.0-2.1,x-fmt/89,1,pre
Graphics Interchange Format,89a,fmt/4,11488,gif
Graphics Interchange Format,87a,fmt/3,5694,gif
GZIP Format,       ,x-fmt/266,11,gz|tgz
Harvard Graphics Presentation,01-Mar,fmt/1491,1,prs|pr4
Hewlett Packard Graphics Language,2,fmt/1174,12,hpgl
Hierarchical File System,       ,fmt/1105,1,img|hfs
HP TRIM Outlook Saved Message File,,fmt/1423,108006,vmbx|mbx
Hypertext Markup Language,,fmt/96,273586,htm|html
Hypertext Markup Language,4.01,fmt/100,38695,htm|html
Hypertext Markup Language,4,fmt/99,820,htm|html
Hypertext Markup Language,3.2,fmt/98,147,htm|html
Hypertext Markup Language,5,fmt/471,11,htm|html
Hypertext Markup Language,2,fmt/97,1,htm|html
Icon file format,,x-fmt/418,12,ico
Information or Setup File,       ,fmt/212,18,info
Inspiration Software File,,fmt/1647,1,isf
Internet Data Query File,       ,fmt/358,4,idq
Internet Message Format,       ,fmt/278,4,eml
Java Archive Format,       ,x-fmt/412,335,jar
Java Compiled Object Code,       ,x-fmt/415,33,class
Java language source code file,       ,x-fmt/422,1793,java
JavaScript file,       ,x-fmt/423,234,js
JPEG 2000 MXF,,,45113,mxf
JPEG File Interchange Format,1.01,fmt/43,129338,jpg|jpeg
JPEG File Interchange Format,1.02,fmt/44,55017,jpg|jpeg
JPEG File Interchange Format,1,fmt/42,937,jpg|jpeg
LEADToolsCompressed Image,       ,fmt/1337,3,cmp
License file,       ,x-fmt/426,2,lic
Log File,       ,x-fmt/62,1242,log
Lotus 1-2-3 Spreadsheet Formatting File,2.3-2.4,x-fmt/331,1,fm1|fmt
Lotus 1-2-3 Worksheet,04-May,x-fmt/116,50,wk4
Lotus 1-2-3 Worksheet,97,fmt/1452,253,
Lotus Freelance Show,       ,fmt/1216,10,prz
Lotus Notes Database,4,x-fmt/338,6,nsf|ns4
